ItemId,PropertyId,Value
Extensions.Epic.Armor.AngelicDress.vest,HealthMax,15
Extensions.Epic.Armor.AngelicDress.vest,Blocking,3
Extensions.Epic.Armor.AngelicDress.gloves,Damage,2
Extensions.Epic.Armor.AngelicDress.gloves,Speed,0.5
Extensions.Epic.Armor.AngelicDress.boots,Speed,1
Extensions.Epic.Armor.AngelicDressTypeB.vest,HealthMax,15
Extensions.Epic.Armor.AngelicDressTypeB.vest,Blocking,3
Extensions.Epic.Armor.AngelicDressTypeB.gloves,Damage,2
Extensions.Epic.Armor.AngelicDressTypeB.gloves,Speed,0.5
Extensions.Epic.Armor.AngelicDressTypeB.boots,Speed,1
Extensions.AbandonedWorkshop.Armor.ArcaneRobe.vest,HealthMax,15
Extensions.AbandonedWorkshop.Armor.ArcaneRobe.vest,Blocking,3
Extensions.AbandonedWorkshop.Armor.ArcaneRobe.gloves,Damage,2
Extensions.AbandonedWorkshop.Armor.ArcaneRobe.gloves,Speed,0.5
Extensions.AbandonedWorkshop.Armor.ArcaneRobe.boots,Speed,1
FantasyHeroes.Basic.Armor.ArielDress [Paint].vest,HealthMax,15
FantasyHeroes.Basic.Armor.ArielDress [Paint].vest,Blocking,3
FantasyHeroes.Basic.Armor.ArielDress [Paint].gloves,Damage,2
FantasyHeroes.Basic.Armor.ArielDress [Paint].gloves,Speed,0.5
FantasyHeroes.Basic.Armor.ArielDress [Paint].boots,Speed,1
UndeadHeroes.Furry.Armor.ArmoredLoincloth.vest,HealthMax,15
UndeadHeroes.Furry.Armor.ArmoredLoincloth.vest,Blocking,3
UndeadHeroes.Furry.Armor.ArmoredLoincloth.gloves,Damage,2
UndeadHeroes.Furry.Armor.ArmoredLoincloth.gloves,Speed,0.5
UndeadHeroes.Furry.Armor.ArmoredLoincloth.boots,Speed,1
Extensions.Epic.Armor.ArmorOfAncestors.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfAncestors.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfAncestors.gloves,Damage,2
Extensions.Epic.Armor.ArmorOfAncestors.gloves,Speed,0.5
Extensions.Epic.Armor.ArmorOfAncestors.boots,Speed,1
Extensions.Epic.Armor.ArmorOfCorruption.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfCorruption.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfCorruption.gloves,Damage,2
Extensions.Epic.Armor.ArmorOfCorruption.gloves,Speed,0.5
Extensions.Epic.Armor.ArmorOfCorruption.boots,Speed,1
Extensions.Epic.Armor.ArmorOfCorruptionTypeB.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfCorruptionTypeB.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfCorruptionTypeB.gloves,Damage,2
Extensions.Epic.Armor.ArmorOfCorruptionTypeB.gloves,Speed,0.5
Extensions.Epic.Armor.ArmorOfCorruptionTypeB.boots,Speed,1
Extensions.Epic.Armor.ArmorOfCryingDemon.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfCryingDemon.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfCryingDemon.gloves,Damage,2
Extensions.Epic.Armor.ArmorOfCryingDemon.gloves,Speed,0.5
Extensions.Epic.Armor.ArmorOfCryingDemon.boots,Speed,1
Extensions.Epic.Armor.ArmorOfEndingLight.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfEndingLight.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfEndingLight.gloves,Damage,2
Extensions.Epic.Armor.ArmorOfEndingLight.gloves,Speed,0.5
Extensions.Epic.Armor.ArmorOfEndingLight.boots,Speed,1
Extensions.Epic.Armor.ArmorOfFadedHeavens.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfFadedHeavens.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfFadedHeavens.gloves,Damage,2
Extensions.Epic.Armor.ArmorOfFadedHeavens.gloves,Speed,0.5
Extensions.Epic.Armor.ArmorOfFadedHeavens.boots,Speed,1
Extensions.Epic.Armor.ArmorOfFortune.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfFortune.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfFortune.gloves,Damage,2
Extensions.Epic.Armor.ArmorOfFortune.gloves,Speed,0.5
Extensions.Epic.Armor.ArmorOfFortune.boots,Speed,1
Extensions.Epic.Armor.ArmorOfImmortality.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfImmortality.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfImmortality.gloves,Damage,2
Extensions.Epic.Armor.ArmorOfImmortality.gloves,Speed,0.5
Extensions.Epic.Armor.ArmorOfImmortality.boots,Speed,1
Extensions.Epic.Armor.ArmorOfJerome.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfJerome.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfJerome.gloves,Damage,2
Extensions.Epic.Armor.ArmorOfJerome.gloves,Speed,0.5
Extensions.Epic.Armor.ArmorOfJerome.boots,Speed,1
Extensions.Epic.Armor.ArmorOfLoneWolf.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfLoneWolf.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfLoneWolf.gloves,Damage,2
Extensions.Epic.Armor.ArmorOfLoneWolf.gloves,Speed,0.5
